BRAND,VERTICAL,WEBSITE,AD_LIBRARY_URL,ACTIVE_ADS_COUNT,AD_SCALE_EVIDENCE,LANDING_PAGE_TYPE,PRODUCTS_OFFERED,HERO_FORMULATION,GENERIC_OR_COMPOUNDED,PRICING_AS_LISTED,EFFECTIVE_PRICE_PER_MONTH,INTRO_OR_TRIAL_OFFER,DISCOUNTS_AND_BUMPS,GUARANTEE,CONSULT_FEE,PRIMARY_ANGLE,CTA_WORDING,CRO_ELEMENTS,FUNNEL_MODEL,SUBSCRIPTION_STRUCTURE,COMPANY_SCALE,VERDICT_NOTES,SOURCE_AND_DATE
Hims,"ED/sexual health, hair loss, weig…",https://www.hims.com,AdLib q=hims,"~1,400 (measured 2026-08-14)",Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Standard ecommerce category/PDP pages feedi…,"ED: 3-in-1 Pill, 3-in-1 Hard Mints, Sildenafil Chews, Tadalafil Chews, generi…",Mixed portfolio rather than one hero. ED combo products are compounde…,"Both, and disclosed per c…","ED: generic Viagra from $22/mo, generic Cialis from $24/mo, 3-in-1 Hard Mints and Sildenafil/Ta…",ED $22-$39/mo. Hair $19-$60/mo. Weight loss $149/mo…,Weight Loss Membership is $39 for the first month then auto…,No checkout order bumps observed on public category pages (checkout not entered…,UNVERIFIED - no guarantee language located on the pages crawled.,No separate consult fee for ED or…,"Category leader positioning - breadth of conditions, brand-name GLP-1…","'Get started', 'See if Hims is right for me…",LegitScript seal; FDA badge icons on product thumbnails; '32 lbs*' weight-los…,Quiz -> Rx (async licensed-provider review) -> ship…,Monthly. Weight-loss membership auto-renews $39 -> $149/mo…,"Public company, NYSE: HIMS (Hims and Hers report as one parent)…","The scale benchmark, but not the model to copy for a compounded-Rx launch. Hims monetizes breadth and a membership gate…",https://www.hims.com/ ; https://www.hims.com/erectile-dysfunction ; https…
Health Insider,Female facial hair (content arbit…,healthinsider.news,AdLib q=hirsutism,21 (rendered subset),"LARGEST SINGLE ADVERTISER on ""hirsutism"": 21 of 58 rendered cards (~6…",Editorial advertorial / quiz-to-app funnel,Health content; monetization model UNVERIFIED (403 on About page),"n/a - publisher, not a product",n/a,No product price published,n/a - publisher,UNVERIFIED,UNVERIFIED,UNVERIFIED,n/a,Editorial/health-news framing wrapped around symptom content,UNVERIFIED (site blocks automated fetch),Advertorial editorial styling; app-install cards observed in adjacent sweeps…,Content arbitrage -> affiliate or app install (UNVE…,UNVERIFIED,Programmatic content publisher,"DEMAND PROOF, NOT A PRODUCT RIVAL. A pure arbitrage publisher is spending more on 'hirsutism' than any actual seller. T…",Meta Ad Library https://www.facebook.com/ads/library/?active_status=activ…
1800RxOnline.com (India import),Female facial hair (gray-market i…,1800rxonline.com,AdLib q=eflornithine,0,No US paid media. PharmacyChecker index only.,Pharmacy listing,"Vaniqa / eflornithine 13.9% cream, 1 tube",Eflornithine 13.9%,Brand/generic import,"$47.74 per tube, free standard shipping from India",$47.74 (1 tube/month assumption),None,Free standard shipping,None,Not disclosed,Cheap import of the reference strength,n/a,Price-comparison table only,Cross-border mail order,None,International mail-order pharmacy,Second gray-market data point. PharmacyChecker lists ZERO US pharmacy prices for eflornithine 13.9% - the US retail cha…,https://www.pharmacychecker.com/eflornithine/ 2026-08-14
GoldStarMeds.com (India import),Female facial hair (gray-market i…,goldstarmeds.com,AdLib q=eflornithine,0,No US paid media. Discovered via PharmacyChecker price index.,Pharmacy listing,"Vaniqa / eflornithine 13.9% cream, 1 tube",Eflornithine 13.9%,Brand/generic import,"$42.97 per tube, free standard shipping from India",$42.97 (assumes 1 tube per month at BID dosing),None,Free standard shipping; import duty may apply at checkout,None,Not disclosed,Lowest global price on the FDA reference strength,n/a (price-comparison listing),Price-comparison table only,Cross-border mail order,None,International mail-order pharmacy,"THE TRUE PRICE FLOOR ON 13.9%. $42.97 undercuts every US telehealth seller. Risk offsets: 2-4 week transit, import seiz…",https://www.pharmacychecker.com/eflornithine/ 2026-08-14
Non-Rx advertisers on the hirsutism key…,Female facial hair (grey-market /…,Various,AdLib q=hirsutism,~62 (measured 2026-08-14),Meta Ad Library exact-phrase query on the clinical keyword 'hirsutism…,Long-form first-person advertorials,"Devices, waxes, supplements, and laser and electrolysis services sold against…",Non-prescription,Non-prescription,Wide range,Varies,Various,Various,Various,Not applicable,Emotional PCOS-identity and hormonal-shame angles rather than clinica…,Various,Long-form first-person advertorial storytelling; open-loop hooks that defer t…,Advertorial to cart,Various,Not applicable,DEMAND PROOF AND THE COPY SCHOOL TO STUDY. Roughly 62 active ads on the clinical term 'hirsutism' are being run by non-…,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&co…
Aurlux,Female facial hair (grey-market t…,aurlux.co,AdLib q=hirsutism,10 (rendered subset),"10 of 58 rendered cards on ""hirsutism"" (~62 total active US). Also 9…",Long-form advertorial/listicle -> product p…,Hair Removal Trilogy Kit; Hair Inhibiting Oil $13.99; Face Exfoliator; Ingrow…,Botanical hair-inhibiting oil (no active drug),Non-Rx cosmetic,"""Buy 1 Get 1 Free"" 2-pack $31.99 (reg $78.99); ""Buy 2 Get 2 Free"" 4-pack $55.99 (reg $138.99)…",~$14/mo (4-pack $55.99 assuming 1 pack per month -…,Up to 75% off framed as the entry offer,Extra 5% off code AURLUXDAYSALE; free Face Exfoliator; free Ingrown Hair Repair…,"60-Day Money Back Guarantee, ""completely Risk-Free experience""",None (no Rx),"""5 Reasons Women Are Ditching Traditional Hair Removal Methods"" - spe…","""GET SMOOTH SKIN NOW"" / ""I WANT EASY SMOOTH…"," 4.85/5 from 20,000+ reviews;  240,000+ happy customers; ""96% Sold"" low-stock…",Advertorial -> bundle-ladder cart,None (one-time bundles only)," 240,000+ customers (unverifiable)","THE PACESETTER FOR GREY CREATIVE. Buys 3 of our keywords simultaneously. No active drug, no doctor, no Rx - yet outspen…",https://aurlux.co/pages/instantly-remove-hair + https://aurlux.co/product…
CyperGlow,Female facial hair (grey-market t…,cyperglow.com,AdLib q=hirsutism,8 (rendered subset),"8 of 58 rendered cards on ""hirsutism"" (~62 total active US), plus ded…",Product landing page,Cyperus Rotundus Skin Serum (V3 formula),Cyperus rotundus botanical extract (no active drug),Non-Rx cosmetic,$39.99 one-time,$39.99 (assumes 1 bottle/month - supply length not…,None; price is the entry offer,Free shipping included; Klarna available; no order bumps observed,365-Day Money-Back Guarantee,None (no Rx),"""The Ancient Egyptian Secret"" -  makes unwanted hair progressively th…","""SHOP OUR BEST SELLER"" / ""ADD TO CART - $39…"," 4.8/5 from 4,700+ reviews;  175,000+ customers; 6-month transformation timel…",Ad -> product page -> cart,Subscription referenced in nav but not priced," 175,000+ customers (unverifiable)",365-DAY GUARANTEE IS THE LONGEST IN THE ENTIRE FIELD - longer than any Rx seller offers. They buy trust with refund len…,https://cyperglow.com/products/cyperus-rotundus-skin-serum 2026-08-14
Eyeamuko,Female facial hair (grey-market t…,eyeamuko.com (DNS did not resolve…,AdLib q=hirsutism,8 (rendered subset),"8 of 58 rendered cards on ""hirsutism"" (~62 total active US). Ad cards…",UNVERIFIED (domain unreachable),UNVERIFIED,UNVERIFIED,Non-Rx (inferred from ad…,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,None,UNVERIFIED,"""Learn more""",UNVERIFIED,Ad -> CyperGlow-linked destination,UNVERIFIED,UNVERIFIED,LIKELY A SECOND CREATIVE FRONT FOR CYPERGLOW - its ad cards carry CYPERGLOW.COM as the destination domain. One operator…,Meta Ad Library https://www.facebook.com/ads/library/?active_status=activ…
Kare Pharmacy (kare-rx),Female facial hair (Rx compounded),kare-rx.com,AdLib q=eflornithine,0,Not present in any keyword sweep. No paid media.,Login-gated catalog page,"Compounded eflornithine cream 7% and 14% (14% labeled ""Most prescribed"")",Eflornithine 7% / 14%,Compounded,Pricing hidden behind sign-in,UNVERIFIED - sign-in required,None,None,None stated,Not disclosed,Prescriber-facing compounding catalog; custom strength availability,"""View Pricing & Options"" / ""Request a custo…",Login wall; no consumer CRO elements at all,Prescriber account -> fill,None,Compounding pharmacy,PROOF THAT 14% IS ROUTINELY COMPOUNDED AND CALLED 'MOST PRESCRIBED'. Useful third-party support for going above Musely'…,https://www.kare-rx.com/products/eflornithine-cream 2026-08-14
Restorative Compounding Pharmacy,Female facial hair (Rx compounded),restorativecompounding.com,AdLib q=eflornithine,0,"Not present in Meta Ad Library keyword sweeps (hirsutism ~62, eflorni…",Product page (prescriber-gated),"Compounded eflornithine cream, custom strengths","Eflornithine, custom %",Compounded,Price not displayed on product page (shows $0.00 placeholder),UNVERIFIED - no public price,None,None,None stated,Not disclosed,Clinical efficacy for facial hair reduction via enzyme inhibition; po…,"""Request More Information"" (patients) / ""Re…","Dual patient/prescriber paths; clinical framing; no reviews, no urgency, no g…","Prescriber-referral -> pharmacy fill (B2B2C, not DT…",None,Single-location compounding pharmacy,NOT A DTC COMPETITOR. Cannot buy without an outside prescriber. Confirms supply exists but nobody is merchandising it…,https://www.restorativecompounding.com/products/p/compounded-eflornithine…
Centro de Estetica by Keity,Female facial hair (Spanish local…,instagram.com (IG-only advertiser),AdLib q=hirsutismo,present in ~6 total,"One of only ~6 total active US ads on the Spanish clinical term ""hirs…",Instagram profile (no website funnel),In-clinic permanent hair removal protocol,n/a - service,n/a - service,No price published,"UNVERIFIED - local service, quote by DM",None,None,None,n/a,"Spanish destigmatization hook: ""Puede parecer raro ver a una mujer co…","""Visit Instagram profile"" / DM-based (""escr…","Viral-case hook (""Este caso se ha vuelto viral""); 1-minute video; DM-to-book…",IG ad -> DM -> in-clinic booking,None,Single aesthetics clinic,THE ONLY SUSTAINED ADVERTISER ON 'HIRSUTISMO' AND IT IS A SINGLE LOCAL SALON WITH NO WEBSITE. The best Spanish emotiona…,Meta Ad Library https://www.facebook.com/ads/library/?active_status=activ…
Soline Beauty,Female facial hair (Spanish-langu…,solinebeauty.com,AdLib q=vello%20en%20la%20cara,6 (rendered subset),"6 of 96 rendered cards on ""vello en la cara"" (~100 total active US)…",Spanish-language DTC storefront,Aceite de Cyperus Rotundus $39.99; Exfoliante Preparador de Foliculos $19.95…,Cyperus rotundus botanical oil,Non-Rx cosmetic,$39.99 hero oil; full catalog $19.95-$39.95,"$39.99 (hero oil, 1 bottle/month assumption)",None observed,No bundles or compare-at pricing shown,None stated on catalog page,None (no Rx),Spanish-first hair-reduction routine with adjacent ingrown-hair and b…,"""Add"" / ""Continue shopping"" (bilingual inte…",Bilingual ES/EN interface; product names trademarked in Spanish; no reviews o…,Spanish ad -> bilingual DTC storefront,None observed,Small Shopify DTC,"SECOND SPANISH OPERATOR, SAME MOLECULE-FREE PLAYBOOK AS CYPERGLOW (cyperus rotundus at ~$40). Product names are localiz…",https://solinebeauty.com/ + Meta Ad Library 2026-08-14
Velare Beauty,Female facial hair (Spanish-langu…,velare-beauty.com,AdLib q=vello%20en%20la%20cara,18 (rendered subset),LARGEST SPANISH-LANGUAGE ADVERTISER FOUND: 18 of 96 rendered cards on…,DTC product page (storefront supports 24+ r…,Topical hair-growth-reduction product (Velare); Priority Processing bump $3.49,"Botanical topical, no active drug",Non-Rx cosmetic,Product tier pricing not retrievable (product URLs 404 / listing truncated); Priority Processin…,UNVERIFIED - exact tiers not retrieved,LIMITED-TIME AUGUST SALE,Priority Processing order bump $3.49 at cart,60-Day Money-Back Guarantee,None (no Rx),"Spanish anti-laser/anti-wax: ""Cansado/a de afeitarte, depilarte con c…","""Shop now"" on English store; ad-level CTA i…",Order bump at cart; 60-day guarantee banner; FDA disclaimer present; multi-cu…,Spanish creative -> English DTC storefront,"Manage Subscription link present, not priced",Multi-region Shopify DTC,THIS ROW REFUTES THE 'NO SPANISH COMPETITOR' THESIS. Velare runs native Spanish video creative at real volume. BUT note…,https://velare-beauty.com/ + Meta Ad Library https://www.facebook.com/ads…
Lepilon Beauty,Female facial hair (Spanish-langu…,lepilon.com,AdLib q=vello%20facial%20mujer,4 (rendered subset),"Present on ""vello facial mujer"" (~4 total active US) and 4 of 96 rend…",DTC storefront (EUR pricing),Cyperus Rotundus Hair Growth EUR39.95; PDRN Collagen Volume Balm EUR26.95; Cr…,Cyperus rotundus botanical,Non-Rx cosmetic,EUR39.95 hero SKU (~$43 USD at parity-ish; FX not locked),"~$43 (1 unit/month assumption, FX UNVERIFIED)","""UP TO 65% OFF"" limited-time banner",No bundle tiers displayed,"No explicit money-back guarantee; disclaimer ""Results may vary from perso…",None (no Rx),"Anti-laser, anti-tweezer convenience framing","""Shop Now"""," 100,000+ Happy Women; Trustpilot badge; 65% off banner; no star rating shown",Ad -> storefront,None observed,Small multi-region DTC,THIRD CYPERUS-ROTUNDUS SELLER TARGETING SPANISH SPEAKERS IN THE US WHILE PRICING IN EUROS. Charging a US Latina in EUR…,https://lepilon.com/ + Meta Ad Library 2026-08-14
Amazon One Medical,General primary care and urgent/o…,https://www.amazon.com/onemedical,AdLib q=one%20medical,529 (exact-phrase); unordered hit…,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Amazon retail-integrated membership and pri…,"Access to care, not products: Membership (ongoing primary care) and On-Demand…",N/A - no formulated product. Prescriptions route to Amazon Pharmacy o…,N/A - pure consult access.,Membership $99/year for Prime members; additional family members $66/year each (up to 5). Non-P…,$8.25/mo effective for Prime members ($99/yr); $16…,The Prime price IS the offer: $99/yr against a $199/yr stan…,Family-member add-on at $66/yr (versus $99 for the primary member) functions as…,UNVERIFIED - no guarantee or refund language on the page crawled.,Membership grants 24/7 on-demand…,"Trust, price and convenience through Amazon distribution rather than…","'Sign in', 'Buy additional memberships (up…",Price anchoring ($199 standalone shown against $99 Prime price); direct cross…,Membership-gated primary care plus a non-membership…,Two tiers: $99/yr Prime-linked (+$66/yr per family member)…,"Amazon acquired One Medical for $3.9 billion all-cash, agreed a…","Not a competitor, but it is the reason a compounded brand should never compete on the word 'affordable' alone. Amazon c…",https://www.amazon.com/onemedical ; https://www.cnbc.com/2023/02/22/amazo…
SkinnyRx,GLP-1 weight loss telehealth,skinnyrx.com,AdLib q=SkinnyRx,~88,Meta Ad Library exact-phrase query returned ~88 active US ads on 2026…,Product-grid landing page with an intake fl…,"Compounded tirzepatide tablets, compounded injectable tirzepatide, compounded…","Compounded tirzepatide tablets, a once-daily oral, is the lead SKU, w…",Compounded and brand,Compounded tirzepatide tablets from $299/month,$299/month,None observed,Buy Now Pay Later financing offered; FSA/HSA eligible for reimbursement,None stated,Not itemized; bundled into the me…,Weight care actually figured out; clinician-guided care rather than j…,Get Started,Buy Now Pay Later badge and FSA/HSA eligibility as the primary friction remov…,Product grid to intake to Rx,Monthly subscription,UNVERIFIED,PRICE-CEILING PROOF AND A FINANCING LEVER. $299/month for a compounded telehealth product with active Meta buying behin…,"https://www.skinnyrx.com/ + Meta Ad Library, verified 2026-08-14"
Happy Head,Hair loss (compounded topical),happyhead.com,AdLib q=Happy%20Head,UNVERIFIED,"UNVERIFIED. The keyword 'Happy Head' returned 50,000 results on 2026-…",,Compounded topical finasteride/minoxidil formulations,,Compounded,,,,,,,,,,Quiz -> Rx -> ship,,,Flagged deliberately as a measurement trap: generic-word brand names cannot be sized with Ad Library keyword search. An…,Meta Ad Library 2026-08-14
Mosh (Australia),"Hair loss, ED, premature ejaculat…",https://www.getmosh.com.au,AdLib q=mosh,863 (identical on unordered and e…,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Long-form condition landing pages plus a co…,"Hair loss plans, ED and PE plans, mental health therapy and medication, weigh…","NOT DISCLOSED, and Mosh says why, verbatim: 'Why can't we say the nam…",UNVERIFIED for the same r…,"ALL PRICES AUD. Hair loss: Prevention from $24/mo, Prevention & Regrowth from $44/mo, advanced…",AUD. ED about $45/mo derived from $1.50/day; hair l…,'$100 off your 1st month of weight loss with code MOSHINTRO…,Dietitian add-on at $50/session is an explicit attached upsell. Also a Price Ma…,"'30-Day Money Back Guarantee - If your treatment just isn't right, you ha…",Not broken out - the practitioner…,"Destigmatised, plain-spoken Australian men's health - 'Aussie practit…","'Take free quiz', 'Take the quiz', 'Check e…",Named video-style testimonials; before/after photo pairs with named patients…,Quiz -> practitioner consult -> subscription with r…,"Recurring monthly, cancel anytime; weight-loss intro requir…","Total funding AUD $31.1M across 3 rounds from 8 investors, most…",Does not serve the US. The transferable idea is the double guarantee - pairing a simple 30-day money-back promise with…,https://www.getmosh.com.au/ ; https://www.getmosh.com.au/pricing ; https:…
Manual (UK),"Hair loss, ED/sexual health, low…",https://www.manual.co,AdLib q=manual.co,2457,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,"Long-form condition landing pages, with TRT…","Complete Hair Loss Plan (finasteride + minoxidil), standalone finasteride and…","Sildenafil 50mg and 100mg; tadalafil 5mg, 10mg, 20mg; testosterone cr…",Generic and branded medic…,"ALL PRICES GBP. ED: sildenafil from £1.67/pill, tadalafil from £2.57/pill, branded Viagra from…",GBP. TRT £99-£169/mo plus £33.95-£119.95 of upfront…,'Get 50% off blood test' with code 50OFFSIGNUP on the TRT f…,The testing ladder itself is the upsell: four escalating test tiers from £33.95…,"A genuinely detailed 'Money Back Promise', but only for the Hair Loss Tre…","YES, itemized and separate on TRT…","Clinical credibility and a structured pathway - test first, then trea…","'BROWSE HAIR', 'BROWSE ED' (nav). Primary i…","Trustpilot badge shown inconsistently (TrustScore 4.2 on the homepage, 4.5/5…",Long-form lander -> blood test -> paid specialist c…,Recurring monthly for TRT and hair loss; per-pill framing o…,"Series A $30M (March 2021) from Sonoma Brands, Waldencast, Feli…",DOES NOT SERVE THE US - Manual's own help centre confirms it ships only within the UK. Its guarantee is the most instru…,https://www.manual.co/ ; https://www.manual.co/erectile-dysfunction/sex-h…
Joi Women's Wellness,Hormone optimization / women's we…,UNVERIFIED (joiwomenswellness.com…,AdLib q=Joi%20Women%27s%20Wellness,0,Meta Ad Library exact-phrase query returned an empty results page on…,UNVERIFIED; the domain did not resolve duri…,"Hormone optimization and peptide therapy, comprehensive lab biomarker panels…",No topical hero formulation; the offer is hormone optimization plus l…,Compounded hormone therapy,"$25 initial online healthcare visit, then a $150.00 per quarter subscription including provider…",$50/month equivalent from the $150 quarterly subscr…,$25 initial online healthcare visit,None observed,None stated,$25 one-time initial visit,Take back control of your health through hormone optimization and coa…,UNVERIFIED; site did not resolve,UNVERIFIED; site did not resolve,Low-cost consult to quarterly care subscription to…,"Quarterly subscription at $150, with medication billed sepa…",Launched nationwide February 2023 and available in all 50 state…,COULD NOT VERIFY FIRST-HAND. Pricing here comes from a press release and third-party review sites rather than the live…,https://www.businesswire.com/news/home/20230216005037/en/ + https://www.h…
KEYWORD SWEEP: 'excessive sweating',Hyperhidrosis,n/a,AdLib q=excessive%20sweating,~620 (measured 2026-08-14),~620 active US results on 2026-08-14. 'Twofold - Hyperhidrosis' (4) w…,,,,Mixed,,,,,,,Demand proof,,,,,,Smallest demand pool we measured (~620) and already has a committed Rx incumbent in Twofold. Lower ceiling than rosacea.,Meta Ad Library 2026-08-14
KEYWORD SWEEP: 'hyperhidrosis',Hyperhidrosis,n/a,AdLib q=hyperhidrosis,~420,~420 active US results on 2026-08-14. 'Twofold - Hyperhidrosis' (6) l…,,,,Mixed,,,,,,,Demand proof,,,,,,"Clinical term draws even less volume than the lay term - typical for body-complaint categories, and a reminder to buy l…",Meta Ad Library 2026-08-14
Sofdra (sofpironium topical gel 12.45%),Hyperhidrosis (model-repeats proo…,sofdra.com,AdLib q=Sofdra,~1,"~1 active US result on 2026-08-14, from the page 'Sofdra (sofpironium…",,Sofdra topical gel,Sofpironium bromide 12.45%,FDA-approved branded drug,,,,,,,The approved pharmaceutical reference product,,,Prescription via dermatologist,,,The FDA-approved branded option is running essentially ZERO paid social. That is the recurring pattern across every one…,Meta Ad Library 2026-08-14
Twofold,Hyperhidrosis (model-repeats proo…,itstwofold.com,AdLib q=Twofold,~210 (measured 2026-08-14),~210 active US results on 2026-08-14 across pages 'Twofold Health' (7…,Quiz-first telehealth funnel,Compounded topical treatments for excessive sweating,,Compounded,,,,,,,Prescription-strength alternative to clinical antiperspirants,,,Quiz -> Rx -> ship,,,"PROOF THE MODEL REPEATS. Same shape as Vuret - quiz-first, compounded, drop-shipped - in a completely different body co…",Meta Ad Library 2026-08-14
Carpe,Hyperhidrosis (OTC benchmark),mycarpe.com,AdLib q=Carpe,"~2,900 (measured 2026-08-14)","~2,900 active US results on 2026-08-14; brand page 'Carpe' 16 visible…",DTC product pages + creator collab ads,OTC antiperspirant lotions and wipes,,OTC,,,,,,,"Everyday sweat management, founder-led and creator-led social proof",,,Social/creator ad -> product page -> cart,,,~14x Twofold's ad volume with an OTC product - which sizes the true addressable audience for sweating far above what th…,Meta Ad Library 2026-08-14
Duradry,Hyperhidrosis (OTC benchmark),duradry.com,AdLib q=Duradry,~5,"~5 active US results on 2026-08-14 (page 'Duradry' 2 cards, affiliate…",,3-step OTC antiperspirant system,,OTC,,,,,,,System/regimen framing,,,DTC cart,,,Effectively dormant on paid social right now. Included as a scale contrast: the sweating category is a two-horse paid r…,Meta Ad Library 2026-08-14
Ideal Image,Laser hair removal / medspa chain…,idealimage.com,AdLib q=unwanted%20facial%20hair,UNVERIFIED at keyword level,Not isolated in rendered subsets. Domain did not resolve on direct fe…,Pricing page -> consult,Laser hair removal memberships by number of body areas,Clinical laser,n/a - service,"claims (third-party): $120/mo for 3 areas, $150/mo for 4 areas, $170/mo for 5 areas; $250/year…",$120-$170/mo as reported (UNVERIFIED - no primary s…,Free consultation,Membership tiering;  up to 90% off touch-ups under Lifetime Guarantee, Lifetime Guarantee Program (third-party sourced),Free consult,Membership model bundling multiple treatment areas,Book a free consultation,Membership tiers; annual VIP fee; lifetime guarantee framing,Consult -> membership close,"Monthly membership, $250/year VIP tier",Large national medspa chain,"TREAT THIS ROW AS THE WEAKEST-SOURCED IN THE SHEET. idealimage.com would not resolve for direct verification, so the $1…",https://www.medestheticsmag.com/news/news/21282937/ideal-image-ideal-imag…
LaserAway,Laser hair removal chain (nationa…,laseraway.com,AdLib q=unwanted%20facial%20hair,UNVERIFIED at keyword level,Not isolated in rendered subsets. Primary pricing page returned HTTP…,Service/FAQ page -> consult,"Laser hair removal by area; 3, 8 or 10-treatment packages",Clinical laser,n/a - service,"$99-$649 per session by area; upper lip and chin at the low end; multi-area packages $2,000+, o…",~$100/mo (8 facial sessions at ~$150 spread across…, 65% off first treatment,Package and multi-area bundling discounts,None published,Free consult,Six to eight sessions for up to 80% hair reduction,Book a free consultation,Deep first-treatment discount; package laddering; per-area price ranges,Ad/SEO -> consult -> package close,None (package purchase),Large national medspa chain,"PER-SESSION PRICING MAKES THE ANNUAL COST VISIBLE IN A WAY MILAN'S DOES NOT: ~$1,200 for a face. FLAG FOR SPOT-CHECK -…",https://www.laseraway.com/faqs/hair-removal/how-much-does-laser-hair-remo…
Milan Laser,Laser hair removal chain (nationa…,milanlaser.com,AdLib q=unwanted%20facial%20hair,UNVERIFIED at keyword level,Not isolated in rendered subsets; national chain advertising at brand…,Landing page -> free consult booking,Unlimited Package laser hair removal by body area,Diode/Nd:YAG clinical laser,n/a - service,"""as low as $45/month""; ""Up to 70% off"" promo; per-area price only by custom quote",$45/mo as advertised (financed); true total price i…,Free consultation; up to 70% off plus a limited-edition bun…,0% APR financing;  100% Credit Approval,Lifetime guarantee included with the Unlimited Package,Free consult (no fee),Unlimited sessions for one price - solves the 6/9-session package tra…,"""RESERVE MY SPOT"" / ""Book Your Free Consult…",Savings calculator tool; free consult; monthly payment anchoring; lifetime gu…,Ad -> free consult -> in-clinic close (financed),"Financed monthly payments, not a subscription",Large national chain (300+ locations),"THE SINGLE BEST PRICE ANCHOR WE HAVE: $45/MONTH, LIFETIME GUARANTEE, FROM THE CATEGORY'S BIGGEST NAME. It proves she wi…",https://milanlaser.com/lp/cost 2026-08-14
PEACH FUZZ LASER Studio,Laser/electrolysis studio (local…,peachfuzzlaser.com,AdLib q=hirsutism,3 (rendered subset),"3 of 58 rendered cards on ""hirsutism"" (~62 total active US), with www…",Local service site -> booking,"Laser hair removal, electrolysis, tattoo removal, facials, vajacials",Clinical laser + electrolysis,n/a - service,No prices published; installment plans available,UNVERIFIED - quote by consult,"""GET 20% OFF YOUR FIRST SESSION!""",Installment plans with automatic monthly charges; $10 late fees; sessions expir…,None,Free/discounted first session,Specialist in skin of color; explicitly names PCOS-related hair growt…,"""GET 20% OFF YOUR FIRST SESSION!"" / ""BOOK Y…",Intro discount; inclusive/education-led positioning; installment financing; t…,Meta ad -> booking -> in-studio package,Auto-renewing installment plans,Two-location independent studio,A TWO-LOCATION BROOKLYN STUDIO IS BUYING 'HIRSUTISM' NATIONALLY-VISIBLE ADS WHILE SERVING ONE METRO. Its skin-of-color…,https://www.peachfuzzlaser.com/ + Meta Ad Library 2026-08-14
KEYWORD SWEEP: 'dark spots cream',Melasma / dark spots,n/a,AdLib q=dark%20spots%20cream,"~7,200","~7,200 active US results on 2026-08-14. Musely (5) leads; field is ot…",,,,Predominantly OTC cosmetic,,,,,,,Demand proof,,,,,,"Very large OTC demand pool, but the Rx position is taken. Useful mainly as a price-anchor and language source, not as a…",Meta Ad Library 2026-08-14
KEYWORD SWEEP: 'melasma',Melasma / dark spots,n/a,AdLib q=melasma,"~3,800","~3,800 active US results on 2026-08-14. Musely (7) and Musely FaceRx…",,,,Mixed - one compounded Rx…,,,,,,,Demand proof,,,,,,"CLAIMED. Real demand, but Musely already owns the prescription position and is actively defending it. Entering here mea…",Meta Ad Library 2026-08-14
Musely,Melasma / dark spots (model-repea…,musely.com,AdLib q=Musely,~810 (measured 2026-08-14),~810 active US results on 2026-08-14 across 'Musely' (21 visible card…,Quiz-first telehealth funnel,The Spot Cream and related compounded FaceRx SKUs,,Compounded,,,,,,,Prescription-strength dark spot correction at consumer-skincare prices,,,Quiz -> Rx -> ship,,,THE CATEGORY OWNER FOR PIGMENTATION - and the clearest proof the compounded-derm telehealth model scales past one compl…,Meta Ad Library 2026-08-14
Defy Medical,"Men's health (TRT, ED, Trimix, an…",https://www.defymedical.com,AdLib q=defy%20medical,18 (exact-phrase); 261 on the uno…,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,"Quiz-first, consult-gated funnel with NO pu…","TRT via injections, topicals, pellets and nasal gel; ED medications including…",No mg/mL or dose strengths disclosed publicly - UNVERIFIED.,UNVERIFIED - no compounde…,NO DOLLAR FIGURES APPEAR ANYWHERE on the TRT or Get Started pages. Every price field is UNVERIF…,UNVERIFIED - cannot be calculated from public pages.,None published.,UNVERIFIED - no pricing or upsell structure is public.,UNVERIFIED - none found.,UNVERIFIED - not published. Pay-p…,Medical depth and patient control - a real clinic with hour-long cons…,"'Get Started', 'Take the Quiz', 'Learn More'","Trustpilot: 4,017 reviews at a 5.0 TrustScore, linked directly from the TRT p…",Quiz -> provider consult -> individualized protocol…,Explicitly no subscription and no contracts - the opposite…,Private. No funding or revenue figures found - UNVERIFIED. The…,"The anti-subscription outlier, and a useful reality check: Defy has run for over a decade with 4,017 Trustpilot reviews…",https://www.defymedical.com/services/trt/ ; https://www.defymedical.com/g…
